"subject" "activity"
1 "standing"
1 "standing"
1 "standing"
1 "standing"
1 "standing"
1 "standing"
1 "standing"
1 "standing"
1 "standing"
1 "standing"
1 "standing"
1 "standing"
1 "standing"
1 "standing"
1 "standing"
1 "standing"
1 "standing"
1 "standing"
1 "standing"
1 "standing"
1 "standing"
1 "standing"
1 "standing"
1 "standing"
1 "standing"
1 "standing"
1 "standing"
1 "sitting"
1 "sitting"
1 "sitting"
1 "sitting"
1 "sitting"
1 "sitting"
1 "sitting"
1 "sitting"
1 "sitting"
1 "sitting"
1 "sitting"
1 "sitting"
1 "sitting"
1 "sitting"
1 "sitting"
1 "sitting"
1 "sitting"
1 "sitting"
1 "sitting"
1 "sitting"
1 "sitting"
1 "sitting"
1 "sitting"
1 "sitting"
1 "laying"
1 "laying"
1 "laying"
1 "laying"
1 "laying"
1 "laying"
1 "laying"
1 "laying"
1 "laying"
1 "laying"
1 "laying"
1 "laying"
1 "laying"
1 "laying"
1 "laying"
1 "laying"
1 "laying"
1 "laying"
1 "laying"
1 "laying"
1 "laying"
1 "laying"
1 "laying"
1 "laying"
1 "laying"
1 "laying"
1 "laying"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walking"
1 "walkingdownstairs"
1 "walkingdownstairs"
1 "walkingdownstairs"
1 "walkingdownstairs"
1 "walkingdownstairs"
1 "walkingdownstairs"
1 "walkingdownstairs"
1 "walkingdownstairs"
1 "walkingdownstairs"
1 "walkingdownstairs"
1 "walkingdownstairs"
1 "walkingdownstairs"
1 "walkingdownstairs"
1 "walkingdownstairs"
1 "walkingdownstairs"
